tep	R
15	0.083333333
15	0.083333333
15	0.0625
15	0.0625
15	0.0625
15	0.0625
15	0.0625
15	0.0625
15	0.0625
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.0625
15	0.111111111
15	0.111111111
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.076923077
15	0.0625
21	0.125
21	0.125
21	0.125
21	0.125
21	0.125
21	0.125
21	0.125
15	0.066666667
15	0.066666667
21	0.1
21	0.1
21	0.1
21	0.1
21	0.1
21	0.1
21	0.076923077
21	0.076923077
21	0.076923077
21	0.076923077
21	0.076923077
21	0.076923077
21	0.166666667
21	0.166666667
15	0.090909091
15	0.090909091
15	0.090909091
15	0.090909091
15	0.090909091
15	0.090909091
15	0.076923077
15	0.071428571
15	0.1
15	0.1
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
25	0.142857143
21	0.125
21	0.142857143
21	0.142857143
21	0.142857143
21	0.142857143
21	0.142857143
15	0.047619048
