DT	D	tep
180	12	15
180	12	15
240	16	15
240	16	15
240	16	15
240	16	15
240	16	15
240	16	15
240	16	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
195	13	15
240	16	15
168	8	21
168	8	21
168	8	21
168	8	21
168	8	21
168	8	21
168	8	21
210	10	21
210	10	21
210	10	21
210	10	21
210	10	21
210	10	21
273	13	21
273	13	21
273	13	21
273	13	21
273	13	21
273	13	21
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
175	7	25
