	V	L1	L2	L3	K	tep	lok
1B15	3	9	12	29	45	15	B
2B15	3	9	12	29	45	15	B
3B15	3	12	16	33	45	15	B
4B15	3	12	16	33		15	B
5B15	4	12	16			15	B
6B15	4	12	16			15	B
7B15	4	12	16			15	B
8B15	4	12	16			15	B
9B15	4	12	16			15	B
10B15	12					15	B
11P15	4	10	13			15	P
12P15		7	13	27	49	15	P
13P15		7	13	30		15	P
14P15		7	13	33		15	P
15P15		7	13			15	P
16P15		7	16			15	P
17P15		7				15	P
18P15		7				15	P
19P15		7				15	P
20B15	3	6	9	30	42	15	B
21B15	3	6	9	30		15	B
22B15	3	6	13	33		15	B
23B15	3	6	13	33		15	B
24B15	3	6	13	33		15	B
25B15	3	6	13			15	B
26B15	3	6	13			15	B
27B15	3	6	13			15	B
28B15	3	6	13			15	B
29B15	3	6	13			15	B
30B15	3	6	13			15	B
31B15	3	6	13			15	B
32B15	3	6	13			15	B
33B15	3	6	13			15	B
34B15	3	6	13			15	B
35B15	3	6	13			15	B
36B15	3	6	13			15	B
37B15	3	6	13			15	B
38B15	3	6	13			15	B
39B15	3	6	13			15	B
40B15	3	6	13			15	B
41B15		6	13			15	B
42B15		6	13			15	B
43B15		6	16			15	B
44B15		6				15	B
45B15	6	9				15	B
46B15	6	9				15	B
51B21	2	5	8			21	B
52B21	2	5	8			21	B
53B21	2	5	8			21	B
54B21	2	5	8			21	B
55B21	2	5	8			21	B
56B21	2	5	8			21	B
57B21		5	8			21	B
58B21		5				21	B
66P15	2	12	15			15	P
67P15	2	12	15			15	P
68P15	8					15	P
69P15	8					15	P
71B21	3	6	10	17	27	21	B
72B21	3	6	10	17	30	21	B
73B21	3	6	10	20		21	B
74B21	3	6	10	20		21	B
75B21	3	6	10	20		21	B
76B21	3	6	10	20		21	B
77B21	3	6	13			21	B
78B21	3	6	13			21	B
79B21	3	6	13			21	B
80B21	3	6	13			21	B
81B21	3	6	13			21	B
82B21	3	6	13			21	B
83B21	3		6	17	23	21	B
84B21	3		6	17	23	21	B
85B21	3	6				21	B
86P15	6	10	11			15	P
87P15	6	10	11			15	P
88P15	6	10	11			15	P
89P15	6	10	11			15	P
90P15	6	10	11			15	P
91P15	6	10	11			15	P
92P15	6	10	13			15	P
93P15	6	10	14			15	P
94P15	6	10				15	P
95P15	6	10				15	P
96P15	6	10				15	P
97P15	6	10				15	P
98P15		6	10			15	P
99P15		6	10	27	39	15	P
100P15	10					15	P
102B25	3					25	B
103B25	3					25	B
104B25	3					25	B
105B25	3					25	B
106B25	3					25	B
107B25	3					25	B
108B25	3		7			25	B
109B25	3		7			25	B
110B25	3		7			25	B
111B25	3		7			25	B
112B25	3		7			25	B
113B25	3		7			25	B
114B25	3		7			25	B
115B25		3	7			25	B
116B25		3	7			25	B
117B25		3	7			25	B
118B25		3	7			25	B
119B25		3	7			25	B
120B25		3	7			25	B
121B25		3	7			25	B
122B25		3	7			25	B
123B25		3	7			25	B
124B25		3	7			25	B
125B25		3	7	17		25	B
126B25						25	B
127P21	3	7	8			21	P
128P21	3		7			21	P
129P21	3		7			21	P
130P21	3		7			21	P
131P21	3		7	17		21	P
132P21		3	7	17		21	P
133B15	4					15	B
134B15	4					15	B
135R15	4					15	R
136P15	9	15	21	33		15	P
137P15	9	15				15	P
138P15	4	9				15	P
139P15	4	9				15	P
