;egg;L1;L2;L3;pupae;total;mortality_total;mortality_L2;mortality_L3;mortality_L1;temp;loc;r_egg;r_l1;r_l2;r_l3;r_pup;r_tot;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
DSW18008;NA;23;NA;NA;NA;NA;0;0;0;1;18;Domazlice;NA;0.043478261;NA;NA;NA;NA;2013;NA;414;NA;NA;NA;NA
PSW21001;108.5;23;NA;NA;NA;NA;0;0;0;1;21;Praha;0.00921659;0.043478261;NA;NA;NA;NA;2013;2278.5;483;NA;NA;NA;NA
PSW21002;108.5;23;NA;NA;NA;NA;0;0;0;1;21;Praha;0.00921659;0.043478261;NA;NA;NA;NA;2013;2278.5;483;NA;NA;NA;NA
PSW21003;108.5;23;NA;NA;NA;NA;0;0;0;1;21;Praha;0.00921659;0.043478261;NA;NA;NA;NA;2013;2278.5;483;NA;NA;NA;NA
PSW21004;108.5;23;NA;NA;NA;NA;0;0;0;1;21;Praha;0.00921659;0.043478261;NA;NA;NA;NA;2013;2278.5;483;NA;NA;NA;NA
PSW21021;NA;23.25;NA;NA;NA;NA;0;0;0;1;21;Praha;NA;0.043010753;NA;NA;NA;NA;2013;NA;488.25;NA;NA;NA;NA
BSW21004001;NA;23.5;NA;NA;NA;NA;0;0;0;1;21;Bestvi;NA;0.042553191;NA;NA;NA;NA;2013;NA;493.5;NA;NA;NA;NA
PSW1803001;NA;24.5;NA;NA;NA;NA;0;0;0;1;18;Praha;NA;0.040816327;NA;NA;NA;NA;2013;NA;441;NA;NA;NA;NA
PSW21035;NA;43;NA;NA;NA;NA;0;0;0;1;21;Praha;NA;0.023255814;NA;NA;NA;NA;2013;NA;903;NA;NA;NA;NA
DSW18007;133;46.5;NA;NA;NA;NA;0;0;0;1;18;Domazlice;0.007518797;0.021505376;NA;NA;NA;NA;2013;2394;837;NA;NA;NA;NA
PSW21008;85;46.5;NA;NA;NA;NA;0;0;0;1;21;Praha;0.011764706;0.021505376;NA;NA;NA;NA;2013;1785;976.5;NA;NA;NA;NA
BSW21001;NA;48;NA;NA;NA;NA;0;0;0;1;21;Bestvi;NA;0.020833333;NA;NA;NA;NA;2013;NA;1008;NA;NA;NA;NA
DSW18028;134.5;48;NA;NA;NA;NA;0;0;0;1;18;Domazlice;0.007434944;0.020833333;NA;NA;NA;NA;2013;2421;864;NA;NA;NA;NA
PSW21068;109;48;NA;NA;NA;NA;0;0;0;1;21;Praha;0.009174312;0.020833333;NA;NA;NA;NA;2013;2289;1008;NA;NA;NA;NA
