;egg;L1;L2;L3;pupae;total;temp;loc;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
83B21;3;#HODNOTA!;#HODNOTA!;11;6;#HODNOTA!;21;Bestvi;2012;63;#HODNOTA!;#HODNOTA!;231;126;#HODNOTA!
84B21;3;#HODNOTA!;#HODNOTA!;11;6;#HODNOTA!;21;Bestvi;2012;63;#HODNOTA!;#HODNOTA!;231;126;#HODNOTA!
DSW18001;#HODNOTA!;3.083333333;1.979166667;11.22916667;7.833333333;#HODNOTA!;18;Domazlice;2013;#HODNOTA!;55.5;35.625;202.125;141;#HODNOTA!
DSW18001;#HODNOTA!;3.083333333;1.979166667;11.22916667;7.833333333;#HODNOTA!;18;Domazlice;2013;#HODNOTA!;55.5;35.625;202.125;141;#HODNOTA!
71B21;3;3;4;7;10;27;21;Bestvi;2012;63;63;84;147;210;567
3B15;3;9;4;17;12;45;15;Bestvi;2012;45;135;60;255;180;675
99P15;#HODNOTA!;#HODNOTA!;4;17;12;#HODNOTA!;15;Praha;2012;#HODNOTA!;#HODNOTA!;60;255;180;#HODNOTA!
20B15;3;3;3;21;12;42;15;Bestvi;2012;45;45;45;315;180;630
72B21;3;3;4;7;13;30;21;Bestvi;2012;63;63;84;147;273;630
1B15;3;6;3;17;16;45;15;Bestvi;2012;45;90;45;255;240;675
2B15;3;6;3;17;16;45;15;Bestvi;2012;45;90;45;255;240;675
12P15;#HODNOTA!;#HODNOTA!;6;14;22;#HODNOTA!;15;Praha;2012;#HODNOTA!;#HODNOTA!;90;210;330;#HODNOTA!
73B21;3;3;4;10;#HODNOTA!;#HODNOTA!;21;Bestvi;2012;63;63;84;210;#HODNOTA!;#HODNOTA!
74B21;3;3;4;10;#HODNOTA!;#HODNOTA!;21;Bestvi;2012;63;63;84;210;#HODNOTA!;#HODNOTA!
75B21;3;3;4;10;#HODNOTA!;#HODNOTA!;21;Bestvi;2012;63;63;84;210;#HODNOTA!;#HODNOTA!
76B21;3;3;4;10;#HODNOTA!;#HODNOTA!;21;Bestvi;2012;63;63;84;210;#HODNOTA!;#HODNOTA!
132P21;#HODNOTA!;#HODNOTA!;4;10;#HODNOTA!;#HODNOTA!;21;Praha;2012;#HODNOTA!;#HODNOTA!;84;210;#HODNOTA!;#HODNOTA!
125B25;#HODNOTA!;#HODNOTA!;4;10;#HODNOTA!;#HODNOTA!;25;Bestvi;2012;#HODNOTA!;#HODNOTA!;100;250;#HODNOTA!;#HODNOTA!
131P21;3;#HODNOTA!;#HODNOTA!;10;#HODNOTA!;#HODNOTA!;21;Praha;2012;63;#HODNOTA!;#HODNOTA!;210;#HODNOTA!;#HODNOTA!
136P15;9;6;6;12;#HODNOTA!;#HODNOTA!;15;Praha;2012;135;90;90;180;#HODNOTA!;#HODNOTA!
BSW21005002;3.479166667;2.96875;2.09375;12.20833333;#HODNOTA!;#HODNOTA!;21;Bestvi;2013;73.0625;62.34375;43.96875;256.375;#HODNOTA!;#HODNOTA!
DSW18002;#HODNOTA!;3;1.979166667;15.22916667;#HODNOTA!;#HODNOTA!;18;Domazlice;2013;#HODNOTA!;54;35.625;274.125;#HODNOTA!;#HODNOTA!
