;egg;L1;L2;L3;pupae;total;temp;loc;year;DT_egg;DT_L1;DT_L2;DT_L3;DT_pupae;DT_total
83B21;3;NA;NA;11;6;NA;21;Bestvi;2012;63;NA;NA;231;126;NA
84B21;3;NA;NA;11;6;NA;21;Bestvi;2012;63;NA;NA;231;126;NA
DSW18001;NA;3.083333333;1.979166667;11.22916667;7.833333333;NA;18;Domazlice;2013;NA;55.5;35.625;202.125;141;NA
DSW18001;NA;3.083333333;1.979166667;11.22916667;7.833333333;NA;18;Domazlice;2013;NA;55.5;35.625;202.125;141;NA
71B21;3;3;4;7;10;27;21;Bestvi;2012;63;63;84;147;210;567
3B15;3;9;4;17;12;45;15;Bestvi;2012;45;135;60;255;180;675
99P15;NA;NA;4;17;12;NA;15;Praha;2012;NA;NA;60;255;180;NA
20B15;3;3;3;21;12;42;15;Bestvi;2012;45;45;45;315;180;630
72B21;3;3;4;7;13;30;21;Bestvi;2012;63;63;84;147;273;630
1B15;3;6;3;17;16;45;15;Bestvi;2012;45;90;45;255;240;675
2B15;3;6;3;17;16;45;15;Bestvi;2012;45;90;45;255;240;675
12P15;NA;NA;6;14;22;NA;15;Praha;2012;NA;NA;90;210;330;NA
73B21;3;3;4;10;NA;NA;21;Bestvi;2012;63;63;84;210;NA;NA
74B21;3;3;4;10;NA;NA;21;Bestvi;2012;63;63;84;210;NA;NA
75B21;3;3;4;10;NA;NA;21;Bestvi;2012;63;63;84;210;NA;NA
76B21;3;3;4;10;NA;NA;21;Bestvi;2012;63;63;84;210;NA;NA
132P21;NA;NA;4;10;NA;NA;21;Praha;2012;NA;NA;84;210;NA;NA
125B25;NA;NA;4;10;NA;NA;25;Bestvi;2012;NA;NA;100;250;NA;NA
131P21;3;NA;NA;10;NA;NA;21;Praha;2012;63;NA;NA;210;NA;NA
136P15;9;6;6;12;NA;NA;15;Praha;2012;135;90;90;180;NA;NA
BSW21005002;3.479166667;2.96875;2.09375;12.20833333;NA;NA;21;Bestvi;2013;73.0625;62.34375;43.96875;256.375;NA;NA
DSW18002;NA;3;1.979166667;15.22916667;NA;NA;18;Domazlice;2013;NA;54;35.625;274.125;NA;NA
4B15;3;9;4;17;NA;NA;15;Bestvi;2012;45;135;60;255;NA;NA
13P15;NA;NA;6;17;NA;NA;15;Praha;2012;NA;NA;90;255;NA;NA
14P15;NA;NA;6;20;NA;NA;15;Praha;2012;NA;NA;90;300;NA;NA
22B15;3;3;7;20;NA;NA;15;Bestvi;2012;45;45;105;300;NA;NA
23B15;3;3;7;20;NA;NA;15;Bestvi;2012;45;45;105;300;NA;NA
