individual;development;r;DT;mortality_total;mortality_L2;mortality_L3;temp;loc;year;stage
51B21;48;0.020833333;1008;0;1;0;21;Bestvi;2012;egg
52B21;48;0.020833333;1008;0;1;0;21;Bestvi;2012;egg
53B21;48;0.020833333;1008;0;1;0;21;Bestvi;2012;egg
54B21;48;0.020833333;1008;0;1;0;21;Bestvi;2012;egg
55B21;48;0.020833333;1008;0;1;0;21;Bestvi;2012;egg
56B21;48;0.020833333;1008;0;1;0;21;Bestvi;2012;egg
66P15;48;0.020833333;720;0;1;0;15;Praha;2012;egg
67P15;48;0.020833333;720;0;1;0;15;Praha;2012;egg
PSW2504001;57;0.01754386;1425;0;0;0;25;Praha;2013;egg
71B21;72;0.013888889;1512;1;1;1;21;Bestvi;2012;egg
72B21;72;0.013888889;1512;1;1;1;21;Bestvi;2012;egg
73B21;72;0.013888889;1512;0;1;1;21;Bestvi;2012;egg
74B21;72;0.013888889;1512;0;1;1;21;Bestvi;2012;egg
75B21;72;0.013888889;1512;0;1;1;21;Bestvi;2012;egg
76B21;72;0.013888889;1512;0;1;1;21;Bestvi;2012;egg
131P21;72;0.013888889;1512;0;1;1;21;Praha;2012;egg
83B21;72;0.013888889;1512;1;1;1;21;Bestvi;2012;egg
84B21;72;0.013888889;1512;1;1;1;21;Bestvi;2012;egg
4B15;72;0.013888889;1080;0;1;1;15;Bestvi;2012;egg
1B15;72;0.013888889;1080;1;1;1;15;Bestvi;2012;egg
2B15;72;0.013888889;1080;1;1;1;15;Bestvi;2012;egg
3B15;72;0.013888889;1080;1;1;1;15;Bestvi;2012;egg
22B15;72;0.013888889;1080;0;1;1;15;Bestvi;2012;egg
23B15;72;0.013888889;1080;0;1;1;15;Bestvi;2012;egg
24B15;72;0.013888889;1080;0;1;1;15;Bestvi;2012;egg
21B15;72;0.013888889;1080;0;1;1;15;Bestvi;2012;egg
20B15;72;0.013888889;1080;1;1;1;15;Bestvi;2012;egg
127P21;72;0.013888889;1512;0;1;0;21;Praha;2012;egg
25B15;72;0.013888889;1080;0;1;0;15;Bestvi;2012;egg
26B15;72;0.013888889;1080;0;1;0;15;Bestvi;2012;egg
27B15;72;0.013888889;1080;0;1;0;15;Bestvi;2012;egg
28B15;72;0.013888889;1080;0;1;0;15;Bestvi;2012;egg
29B15;72;0.013888889;1080;0;1;0;15;Bestvi;2012;egg
30B15;72;0.013888889;1080;0;1;0;15;Bestvi;2012;egg
