;egg;L1;L2;L3;pupae;total;temp;loc;r_egg;r_l1;r_l2;r_l3;r_pup;r_tot;year
BSW21001001;133;;;;;504;21;Bestvi;0.007518797;;;;;0.001984127;2013
BSW21002001;;;;;;504;21;Bestvi;;;;;;0.001984127;2013
PSW21061;106.5;76;71;;;624;21;Praha;0.009389671;0.013157895;0.014084507;;;0.001602564;2013
BSW21032;112.5;72;;;;624;21;Bestvi;0.008888889;0.013888889;;;;0.001602564;2013
71B21;72;72;96;168;240;648;21;Bestvi;0.013888889;0.013888889;0.010416667;0.005952381;0.004166667;0.00154321;2012
PSW21050;113.0000007;72;48;;;648;21;Praha;0.008849557;0.013888889;0.020833333;;;0.00154321;2013
PSW21056;113.0000007;72;69;;;672;21;Praha;0.008849557;0.013888889;0.014492754;;;0.001488095;2013
BSW21023;107;49;72;;;672;21;Bestvi;0.009345794;0.020408163;0.013888889;;;0.001488095;2013
PSW21036;105.5;27;73;;;672;21;Praha;0.009478673;0.037037037;0.01369863;;;0.001488095;2013
PSW21065;106.5;76;90.5;;;696;21;Praha;0.009389671;0.013157895;0.011049724;;;0.001436782;2013
72B21;72;72;96;168;312;720;21;Bestvi;0.013888889;0.013888889;0.010416667;0.005952381;0.003205128;0.001388889;2012
PSW21046;88.5;96;95;;;720;21;Praha;0.011299435;0.010416667;0.010526316;;;0.001388889;2013
PSW18019;137.7500007;95;73;;;816;18;Praha;0.007259528;0.010526316;0.01369863;;;0.00122549;2013
20B15;72;72;72;504;288;1008;15;Bestvi;0.013888889;0.013888889;0.013888889;0.001984127;0.003472222;0.000992063;2012
3B15;72;216;96;408;288;1080;15;Bestvi;0.013888889;0.00462963;0.010416667;0.00245098;0.003472222;0.000925926;2012
1B15;72;144;72;408;384;1080;15;Bestvi;0.013888889;0.006944444;0.013888889;0.00245098;0.002604167;0.000925926;2012
2B15;72;144;72;408;384;1080;15;Bestvi;0.013888889;0.006944444;0.013888889;0.00245098;0.002604167;0.000925926;2012
83B21;72;;;264;144;;21;Bestvi;0.013888889;;;0.003787879;0.006944444;;2012
84B21;72;;;264;144;;21;Bestvi;0.013888889;;;0.003787879;0.006944444;;2012
DSW18001;;74;47.5;269.5;188;;18;Domazlice;;0.013513514;0.021052632;0.003710575;0.005319149;;2013
DSW18001;;74;47.5;269.5;188;;18;Domazlice;;0.013513514;0.021052632;0.003710575;0.005319149;;2013
99P15;;;96;408;288;;15;Praha;;;0.010416667;0.00245098;0.003472222;;2012
12P15;;;144;336;528;;15;Praha;;;0.006944444;0.00297619;0.001893939;;2012
73B21;72;72;96;240;;;21;Bestvi;0.013888889;0.013888889;0.010416667;0.004166667;;;2012
74B21;72;72;96;240;;;21;Bestvi;0.013888889;0.013888889;0.010416667;0.004166667;;;2012
75B21;72;72;96;240;;;21;Bestvi;0.013888889;0.013888889;0.010416667;0.004166667;;;2012
76B21;72;72;96;240;;;21;Bestvi;0.013888889;0.013888889;0.010416667;0.004166667;;;2012
125B25;;;96;240;;;25;Bestvi;;;0.010416667;0.004166667;;;2012
132P21;;;96;240;;;21;Praha;;;0.010416667;0.004166667;;;2012
131P21;72;;;240;;;21;Praha;0.013888889;;;0.004166667;;;2012
136P15;216;144;144;288;;;15;Praha;0.00462963;0.006944444;0.006944444;0.003472222;;;2012
BSW21005002;83.5;71.25;50.25;293;;;21;Bestvi;0.011976048;0.014035088;0.019900498;0.003412969;;;2013
DSW18002;;72;47.5;365.5;;;18;Domazlice;;0.013888889;0.021052632;0.002735978;;;2013
4B15;72;216;96;408;;;15;Bestvi;0.013888889;0.00462963;0.010416667;0.00245098;;;2012
13P15;;;144;408;;;15;Praha;;;0.006944444;0.00245098;;;2012
