"long";"lat"
40.7716666666667;40.9426666666667
40.7716666666667;40.9426666666667
35.8475;41.3152777777778
22.4286111111111;44.7172222222222
25.5477777777778;46.5813888888889
13.8166666666667;46.5833333333333
14.8333333333333;46.8333333333333
14.8;46.9333333333333
14.8;46.9333333333333
14.8;46.9333333333333
15.8833333333333;46.9333333333333
15.8833333333333;46.9333333333333
15.8666666666667;46.9666666666667
14;47.55
16.4333333333333;47.7241666666667
17.6797222222222;47.7761111111111
16.7575;49.3761111111111
14.1211111111111;49.4030555555556
15.6272222222222;49.8083333333333
15.6691666666667;49.9597222222222
15.6691666666667;49.9597222222222
14.2794444444444;50.0025
15.815;50.0805555555556
15.815;50.0805555555556
15.6405555555556;50.3008333333333
13.8360277777778;50.4419444444444
13.8361388888889;50.4421666666667
13.8361388888889;50.4421666666667
13.8031111111111;50.4550277777778
13.8031111111111;50.4550277777778
13.7993888888889;50.4569444444444
13.8086666666667;50.4642777777778
13.8198333333333;50.4644166666667
13.8196944444444;50.4645277777778
13.8196944444444;50.4646666666667
13.8293611111111;50.4680833333333
13.8295;50.4683055555556
13.8309166666667;50.4693055555556
16.3666666666667;50.6166666666667
13.7751325;50.4110347
14.3946561;50.1288686
14.3946561;50.1288686
15.5797678;49.8311261
15.5797678;49.8311261
12.8926858;49.4298514
13.3101694;49.367055
20.2751;63.798
15.7351;56.9413
14.5281;58.5176
15.7942;56.9423
15.7325;56.9518
17.4443;61.624
10.53025;59.53408
12.9722;55.5691
16.1181;58.6931
16.1168;58.6924
16.5894;57.7053
16.1186;58.6934
12.373;57.4982
12.5617;56.185
12.5617;56.1854
12.5598;56.2755
12.5893;56.2581
17.0199;63.684
12.5614;56.1869
12.5626;56.2077
12.5883;56.2579
12.373;57.4982
16.8496;58.9971
15.4151;62.3397
12.5624;56.2197
12.5925;56.2578
12.5427;56.2276
10.02516;59.22897
12.5622;56.2196
12.5427;56.2272
12.5876;56.2578
12.5909;56.1829
12.5597;56.2756
12.3718;57.4972
12.5641;56.2074
16.9925;58.9922
17.9324;63.6383
16.9925;58.9922
16.2226;59.4678
10.02516;59.22897
10.01027;59.21133
16.9471;58.9842
12.372;57.4971
16.9908;59.1187
17.4791;59.6673
17.4791;59.6672
12.373;57.4982
12.12429;60.01008
16.8442;58.9917
17.389;59.6558
10.01955;59.21643
16.9451;58.9869
17.493;59.6603
17.4939;59.6602
17.4791;59.6673
10.01027;59.21133
10.49765;59.20412
10.49765;59.20412
10.01955;59.21643
16.9478;58.9837
9.6724;59.10198
8.03545;59.44476
12.1678;58.8526
16.9876;59.1197
12.1683;58.8526
16.9929;58.9932
8.03545;59.44476
8.11857;58.22747
10.0099;59.21123
10.01027;59.21133
10.01027;59.21133
10.01027;59.21133
10.02516;59.22897
10.68497;59.54479
15.8804;58.7159
10.01027;59.21133
10.01027;59.21133
8.03545;59.44476
5.731;58.83346
5.73614;58.83376
5.73469;58.83386
13.7991;55.6567
6.55076;58.42729
16.1807;62.1726
18.6689;64.6072
11.7428;58.5322
12.0086;57.7632
12.0033;57.8338
15.1174;64.3232
18.2783;59.172
13.397;55.6805
15.3652;64.2406
11.9144;57.5927
15.3558;64.2396
11.9471;57.5851
15.1178;64.3234
11.7796;58.526
17.4444;59.5595
12.0133;57.6991
16.1876;62.1705
15.0037;58.5477
11.7796;58.526
11.9351;57.6867
14.2436;57.7795
16.1882;62.1704
15.0298;64.3087
11.7428;58.5322
15.0362;64.3067
11.9086;57.7032
11.9848;57.7596
15.2756;64.3103
13.6816;60.8651
15.1178;64.3234
16.4092;56.318
16.1804;62.1729
16.8227;59.0915
16.4148;56.3184
15.3558;64.2396
15.0298;64.3087
16.8227;59.0915
10.99923;59.84067
6.55076;58.42729
16.1876;62.1705
11.20386;60.33774
15.1174;64.3232
16.8029;60.1646
20.1875;63.8715
10.94679;59.83929
18.2783;59.172
15.2773;64.3092
16.1807;62.1726
15.2756;64.3103
16.1882;62.1704
11.01783;59.88025
10.99923;59.84067
15.0405;59.4521
15.0406;59.4522
15.04;59.4502
11.02041;59.88056
14.1254;55.9601
9.94876;59.0615
10.99788;59.84905
6.55076;58.42729
8.02805;58.18274
7.98267;58.16588
10.94137;59.84997
9.91182;59.10978
11.20386;60.33774
4.49;53.16
4.49;53.16
4.49;53.16
4.49;53.16
4.49;53.16
12.51;41.93
4.49;53.16
4.49;53.16
12.51;41.93
12.51;41.93
6.85;52.25
4.49;53.16
4.49;53.16
15.6193;58.3562
15.604;58.38
15.6026;58.3746
4.49;53.16
15.6109;58.3889
4.49;53.16
17.3479;60.713
14.3393;58.0291
16.7721;63.2524
11.1653;58.7477
16.2578;60.1583
14.6996;57.0349
14.79;60.4888
14.6996;57.0349
15.0419;64.3195
14.79;60.4888
15.0877;64.3287
16.9789;60.773
11.3595;58.365
15.0875;64.3287
11.179;58.7214
14.7808;56.8653
16.2535;56.6814
15.0416;64.3194
11.177;58.7271
15.0418;64.3198
14.9985;63.3621
14.9985;63.3621
17.3479;60.713
16.2531;56.6818
15.7287;62.0721
22.3274;65.5644
15.0419;64.3198
17.5801;59.7775
12.0978;57.7903
15.1184;64.4301
12.0978;57.7903
11.9109;57.7683
22.3349;65.537
17.4632;59.5423
22.3248;65.5649
