pic;size;instar
4321;0.476;L2
4324;0.38;L2
4325;0.523;L2
4326;0.493;L2
4327;NA;L2
4328;0.526;L2
4329;0.474;L2
4330;0.512;L2
4331;0.532;L2
4332;0.532;L2
4333;0.482;L2
4334;0.515;L2
4338;0.511;L2
4341;0.541;L2
4343;0.535;L2
4344;0.537;L2
4345;0.522;L2
4347;0.512;L2
4348;0.543;L2
4354;0.511;L2
4355;0.521;L2
4335;0.519;L3
4336;0.506;L3
4337;0.536;L3
4340;0.631;L3
4351;0.66;L3
4352;0.595;L3
4353;0.607;L3
4356;0.645;L3
4339;NA;NA
4342;0.642;NA
4346;0.626;NA
4349;0.592;NA
4350;0.645;NA
1;0.37;L1
2;0.36;L1
3;0.38;L1
4;0.35;L1
5;0.36;L1
6;0.37;L1
7;0.36;L1
8;0.38;L1
9;0.36;L1
