indiv;egg;L1;L2;L3;pupae;total;temp;loc;year
DSW18008;NA;23,0000;NA;NA;NA;NA;18;Domazlice;2013
PSW21001;108.5;23,0000;NA;NA;NA;NA;21;Praha;2013
PSW21002;108.5;23,0000;NA;NA;NA;NA;21;Praha;2013
PSW21003;108.5;23,0000;NA;NA;NA;NA;21;Praha;2013
PSW21004;108.5;23,0000;NA;NA;NA;NA;21;Praha;2013
PSW21021;NA;23.25;NA;NA;NA;NA;21;Praha;2013
BSW21004001;NA;23.V;NA;NA;NA;NA;21;Bestvi;2013
PSW1803001;NA;24.V;NA;NA;NA;NA;18;Praha;2013
PSW21035;NA;43,0000;NA;NA;NA;NA;21;Praha;2013
DSW18007;133,0000;46.5;NA;NA;NA;NA;18;Domazlice;2013
PSW21008;85,0000;46.5;NA;NA;NA;NA;21;Praha;2013
BSW21001;NA;48,0000;NA;NA;NA;NA;21;Bestvi;2013
DSW18028;134.5;48,0000;NA;NA;NA;NA;18;Domazlice;2013
PSW21068;109,0000;48,0000;NA;NA;NA;NA;21;Praha;2013
PSW21069;109,0000;48,0000;NA;NA;NA;NA;21;Praha;2013
PSW21070;109,0000;48,0000;NA;NA;NA;NA;21;Praha;2013
PSW2504001;57,0000;48,0000;NA;NA;NA;NA;25;Praha;2013
BSW18013;NA;68,0000;NA;NA;NA;NA;18;Bestvi;2013
PSW18020;137.7500007;68,0000;NA;NA;NA;NA;18;Praha;2013
KSW1801005;NA;71,0000;NA;NA;NA;NA;18;Klatovy;2013
45B15;144,0000;72,0000;NA;NA;NA;NA;15;Bestvi;2012
46B15;144,0000;72,0000;NA;NA;NA;NA;15;Bestvi;2012
BSW21032;112.5;72,0000;NA;NA;NA;624,0000;21;Bestvi;2013
85B21;72,0000;72,0000;NA;NA;NA;NA;21;Bestvi;2012
BSW21007;107,0000;72.5;NA;NA;NA;NA;21;Bestvi;2013
BSW21002;NA;74,0000;NA;NA;NA;NA;21;Bestvi;2013
PSW21039;155,0000;76,0000;NA;NA;NA;NA;21;Praha;2013
KSW18009;132.5;76,0000;NA;NA;NA;NA;18;Klatovy;2013
PSW21062;106.5;76,0000;NA;NA;NA;NA;21;Praha;2013
PSW15014;233.0000007;90.5;NA;NA;NA;NA;15;Praha;2013
PSW21072;86,0000;90.5;NA;NA;NA;NA;21;Praha;2013
PSW21009;85,0000;94.25;NA;NA;NA;NA;21;Praha;2013
PSW18017;111.25;95,0000;NA;NA;NA;NA;18;Praha;2013
PSW21031;87,0000;95,0000;NA;NA;NA;NA;21;Praha;2013
94P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
95P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
96P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
97P15;144,0000;96,0000;NA;NA;NA;NA;15;Praha;2012
PSW21057;112.5;96,0000;NA;NA;NA;NA;21;Praha;2013
PSW21048;88.5;96,0000;NA;NA;NA;NA;21;Praha;2013
PSW18031;113.0000007;96,0000;NA;NA;NA;NA;18;Praha;2013
PSW21015;107.0000007;98,0000;NA;NA;NA;NA;21;Praha;2013
PSW21018;107.0000007;98,0000;NA;NA;NA;NA;21;Praha;2013
BSW21011;82.5;98,0000;NA;NA;NA;NA;21;Bestvi;2013
DSW18013;NA;99.5;NA;NA;NA;NA;18;Domazlice;2013
DSW18022;105.5;100,0000;NA;NA;NA;NA;18;Domazlice;2013
PSW15010;185.0000007;119,0000;NA;NA;NA;NA;15;Praha;2013
BSW18027;113.0000007;120,0000;NA;NA;NA;NA;18;Bestvi;2013
DSW18025;113.0000007;120,0000;NA;NA;NA;NA;18;Domazlice;2013
138P15;96,0000;120,0000;NA;NA;NA;NA;15;Praha;2012
139P15;96,0000;120,0000;NA;NA;NA;NA;15;Praha;2012
DSW18024;109.5000007;121,0000;NA;NA;NA;NA;18;Domazlice;2013
PSW21010;108,0000;121.5;NA;NA;NA;NA;21;Praha;2013
KSW18004;154.25;125,0000;NA;NA;NA;NA;18;Klatovy;2013
PSW21017;107.0000007;125.5;NA;NA;NA;NA;21;Praha;2013
PSW15005;181.5;141,0000;NA;NA;NA;NA;15;Praha;2013
137P15;216,0000;144,0000;NA;NA;NA;NA;15;Praha;2012
PSW15015;233.0000007;144,0000;NA;NA;NA;NA;15;Praha;2013
PSW15008;178.5000007;147,0000;NA;NA;NA;NA;15;Praha;2013
BSW15006;157.0000007;166.5;NA;NA;NA;NA;15;Bestvi;2013
PSW15006;205.5;186.5;NA;NA;NA;NA;15;Praha;2013
BSW15007;157.0000007;189,0000;NA;NA;NA;NA;15;Bestvi;2013
BSW15005;178.5000007;190.75;NA;NA;NA;NA;15;Bestvi;2013
PSW15009;178.5000007;190.75;NA;NA;NA;NA;15;Praha;2013
PSW15012;208.5;191,0000;NA;NA;NA;NA;15;Praha;2013
126B25;NA;NA;NA;NA;NA;NA;25;Bestvi;2012
17P15;NA;NA;NA;NA;NA;NA;15;Praha;2012
18P15;NA;NA;NA;NA;NA;NA;15;Praha;2012
19P15;NA;NA;NA;NA;NA;NA;15;Praha;2012
44B15;NA;NA;NA;NA;NA;NA;15;Bestvi;2012
58B21;NA;NA;NA;NA;NA;NA;21;Bestvi;2012
BSW18008;NA;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18011;NA;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW21003001;NA;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21005001;NA;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21016;NA;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21017;NA;NA;NA;NA;NA;NA;21;Bestvi;2013
DSW18009;NA;NA;NA;NA;NA;NA;18;Domazlice;2013
DSW18010;NA;NA;NA;NA;NA;NA;18;Domazlice;2013
DSW18021;NA;NA;NA;NA;NA;NA;18;Domazlice;2013
KSW1801001;NA;NA;NA;NA;NA;NA;18;Klatovy;2013
PSW18004;NA;NA;NA;NA;NA;NA;18;Praha;2013
PSW18009;NA;NA;NA;NA;NA;NA;18;Praha;2013
PSW18010;NA;NA;NA;NA;NA;NA;18;Praha;2013
PSW1803003;NA;NA;NA;NA;NA;NA;18;Praha;2013
PSW1803006;NA;NA;NA;NA;NA;NA;18;Praha;2013
PSW21012;NA;NA;NA;NA;NA;NA;21;Praha;2013
PSW21019;NA;NA;NA;NA;NA;NA;21;Praha;2013
BSW21002001;NA;NA;NA;NA;NA;504,0000;21;Bestvi;2013
10B15;NA;NA;NA;NA;NA;NA;15;Bestvi;2012
100P15;240,0000;NA;NA;NA;NA;NA;15;Praha;2012
PSW15013;233.0000007;NA;NA;NA;NA;NA;15;Praha;2013
PSW15011;230.5000007;NA;NA;NA;NA;NA;15;Praha;2013
BSW15003;205.5;NA;NA;NA;NA;NA;15;Bestvi;2013
PSW15007;205.5;NA;NA;NA;NA;NA;15;Praha;2013
68P15;192,0000;NA;NA;NA;NA;NA;15;Praha;2012
69P15;192,0000;NA;NA;NA;NA;NA;15;Praha;2012
BSW15002;181.8750007;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW18018;181.8750007;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18018;181.8750007;NA;NA;NA;NA;NA;18;Bestvi;2013
PSW15002;180,0000;NA;NA;NA;NA;NA;15;Praha;2013
BSW15004;178.5000007;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW15001;162.8750007;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW18010;162.875;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18033;160.5;NA;NA;NA;NA;NA;18;Bestvi;2013
KSW18012;158.5;NA;NA;NA;NA;NA;18;Klatovy;2013
PSW18016;158.25;NA;NA;NA;NA;NA;18;Praha;2013
BSW15008;157,0000;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW15010;157,0000;NA;NA;NA;NA;NA;15;Bestvi;2013
BSW15009;157,0000;NA;NA;NA;NA;NA;15;Bestvi;2013
PSW21025;156.75;NA;NA;NA;NA;NA;21;Praha;2013
PSW21013;155.5;NA;NA;NA;NA;NA;21;Praha;2013
KSW18006;155,0000;NA;NA;NA;NA;NA;18;Klatovy;2013
BSW18021;154.25;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18022;154.25;NA;NA;NA;NA;NA;18;Bestvi;2013
PSW18021;137.7500007;NA;NA;NA;NA;NA;18;Praha;2013
BSW18030;137.0000007;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18031;137.0000007;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18006;135.875;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18036;134.5;NA;NA;NA;NA;NA;18;Bestvi;2013
BSW18037;134.5;NA;NA;NA;NA;NA;18;Bestvi;2013
KSW18010;134.5;NA;NA;NA;NA;NA;18;Klatovy;2013
PSW18036;134.5;NA;NA;NA;NA;NA;18;Praha;2013
PSW18037;134.5;NA;NA;NA;NA;NA;18;Praha;2013
PSW18038;134.5;NA;NA;NA;NA;NA;18;Praha;2013
BSW18038;133,0000;NA;NA;NA;NA;NA;18;Bestvi;2013
PSW18003;133,0000;NA;NA;NA;NA;NA;18;Praha;2013
BSW21001001;133,0000;NA;NA;NA;NA;504,0000;21;Bestvi;2013
PSW18032;132.5;NA;NA;NA;NA;NA;18;Praha;2013
BSW21004002;132,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21004003;132,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21004004;132,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
BSW21004005;132,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
PSW18030;131.75;NA;NA;NA;NA;NA;18;Praha;2013
PSW18006;131.5;NA;NA;NA;NA;NA;18;Praha;2013
PSW18008;131.5;NA;NA;NA;NA;NA;18;Praha;2013
PSW21014;131.5;NA;NA;NA;NA;NA;21;Praha;2013
DSW18012;131.25;NA;NA;NA;NA;NA;18;Domazlice;2013
PSW21029;113.75;NA;NA;NA;NA;NA;21;Praha;2013
BSW21029;113,0000;NA;NA;NA;NA;NA;21;Bestvi;2013
