kod;delka;datum;cas;teplota;oblast;jedinec;instar;poznamka;fotka
1;0.336;28.6.2014 15:00;0:00:00;15;Bestvina;BSW15001;l1;;1
3;0.322;1.7.2014 11:00;68:00:00;15;Bestvina;BSW15001;l1;;3
4;0.331;2.7.2014 14:00;95:00:00;15;Bestvina;BSW15001;l1;;4
5;0.337;3.7.2014 14:00;119:00:00;15;Bestvina;BSW15001;l1;;5
6;0.321;4.7.2014 15:00;144:00:00;15;Bestvina;BSW15001;l1;;6
27;0.3;30.6.2014 10:00;24:00:00;15;Bestvina;BSW15002;l1;;2
28;0.321;1.7.2014 11:00;49:00:00;15;Bestvina;BSW15002;l1;;3
29;0.328;2.7.2014 14:00;76:00:00;15;Bestvina;BSW15002;l1;;4
30;0.331;3.7.2014 14:00;100:00:00;15;Bestvina;BSW15002;l1;;5
31;0.323;4.7.2014 15:00;125:00:00;15;Bestvina;BSW15002;l1;;6
52;0.336;5.7.2014 15:00;0:00:00;15;Bestvina;BSW15003;l1;;1
78;0.323;6.7.2014 11:00;0:00:00;15;Bestvina;BSW15004;l1;;1
79;0.314;7.7.2014 15:00;28:00:00;15;Bestvina;BSW15004;l1;;2
104;0.327;6.7.2014 11:00;0:00:00;15;Bestvina;BSW15005;l1;;1
105;0.339;7.7.2014 15:00;28:00:00;15;Bestvina;BSW15005;l1;;2
106;0.332;8.7.2014 15:00;52:00:00;15;Bestvina;BSW15005;l1;;3
107;0.334;9.7.2014 15:00;76:00:00;15;Bestvina;BSW15005;l1;;4
108;0.33;12.7.2014 14:00;147:00:00;15;Bestvina;BSW15005;l1;;5
109;0.336;13.7.2014 9:30;166:30:00;15;Bestvina;BSW15005;l1;;6
130;0.325;6.7.2014 11:00;0:00:00;15;Bestvina;BSW15006;l1;;1
131;0.326;7.7.2014 15:00;28:00:00;15;Bestvina;BSW15006;l1;;2
132;0.317;8.7.2014 15:00;52:00:00;15;Bestvina;BSW15006;l1;;3
133;0.322;9.7.2014 15:00;76:00:00;15;Bestvina;BSW15006;l1;;4
134;0.328;10.7.2014 12:00;97:00:00;15;Bestvina;BSW15006;l1;;5
135;0.324;12.7.2014 14:00;147:00:00;15;Bestvina;BSW15006;l1;;6
156;0.324;6.7.2014 11:00;0:00:00;15;Bestvina;BSW15007;l1;;1
157;0.313;7.7.2014 15:00;28:00:00;15;Bestvina;BSW15007;l1;;2
158;0.317;8.7.2014 15:00;52:00:00;15;Bestvina;BSW15007;l1;;3
